script_id,imdb_id,title,year,gross (inflation-adjusted),link
3352,tt0167404,The Sixth Sense,1999,503,"http://www.imsdb.com/Movie Scripts/Sixth Sense, The Script.html"
6059,tt0472181,The Smurfs,2011,156,https://wikileaks.org/sony/docs/03_03/Mktrsch/Market%20Research/Scripts/Released/Smurfs%2012-12-10%203%5b11%5d.pdf
6060,tt2017020,The Smurfs 2,2013,75,https://wikileaks.org/sony/docs/03_03/Mktrsch/Market%20Research/Scripts/Released/Smurfs%202%20%2820120626%29.pdf
3381,tt1285016,The Social Network,2010,106,"http://www.imsdb.com/Movie Scripts/Social Network, The Script.html"
5001,tt0963966,The Sorcerer's Apprentice,2010,69,http://screenplayexplorer.com/wp-content/scripts/The-Sorcerers-Apprentice.pdf
7298,tt1714206,The Spectacular Now,2013,7,THE SPECTACULAR NOW written by Scott Neustadter & Michael Weber.pdf
6854,tt0367089,The Squid and the Whale,2005,9,Squid and the Whale.pdf
7610,tt0073747,The Stepford Wives,1975,,Stepford Wives.pdf
1370,tt0070735,The Sting,1973,786,"film_20100519/all_imsdb_05_19_10/Sting,-The.html"
3461,tt0081568,The Stunt Man,1980,,"http://www.imsdb.com/Movie Scripts/Stuntman, The Script.html"
3473,tt0418206,The Surfer King,2006,,"http://www.imsdb.com/Movie Scripts/Surfer King, The Script.html"
3483,tt0120255,The Sweet Hereafter,1997,8,"http://www.imsdb.com/Movie Scripts/Sweet Hereafter, The Script.html"
3500,tt0134119,The Talented Mr. Ripley,1999,139,"http://www.imsdb.com/Movie Scripts/Talented Mr. Ripley, The Script.html"
3511,tt0088247,The Terminator,1984,99,http://www.imsdb.com/Movie Scripts/Terminator Script.html
6164,tt0324216,The Texas Chainsaw Massacre,2003,115,The Texas Chainsaw Massacre (2003).pdf
5502,tt2980516,The Theory of Everything,2014,38,http://gointothestory.blcklst.com/wp-content/uploads/2014/11/Theory-of-Everything-The.pdf
5115,tt0025878,The Thin Man,1934,,http://www.dailyscript.com/scripts/thethinman.html
9177,tt0120863,The Thin Red Line,1998,67,http://indiegroundfilms.files.wordpress.com/2014/01/thin-red-line-the.pdf
6003,tt0041959,The Third Man,1949,8,https://www.dropbox.com/sh/jpxh25l44yke4np/AAAPTEZGOIBNJa5WHGGYrsOZa/THIRD%20MAN%2C%20THE%20%281949%29%20Graham%20Greene.pdf?dl=0
3546,tt0108333,The Three Musketeers,1993,113,"http://www.imsdb.com/Movie Scripts/Three Musketeers, The Script.html"
6610,tt0383010,The Three Stooges,2012,48,Three_Stooges.pdf
3557,tt0268695,The Time Machine,2002,84,http://www.dailyscript.com/scripts/TheTimeMachine.html
6063,tt1243957,The Tourist,2010,74,https://wikileaks.org/sony/docs/03_03/Mktrsch/Market%20Research/Scripts/Released/The%20Tourist.pdf
5142,tt0840361,The Town,2010,101,http://moviecultists.com/wp-content/uploads/screenplays/town.pdf
7633,tt2561546,The Town That Dreaded Sundown,2014,,TOWN_THAT_DREADED_SUNDOWN_(2-25-13b) (1).pdf
9195,tt0478304,The Tree of Life,2011,14,http://indiegroundfilms.files.wordpress.com/2014/01/tree-of-life-the-jun-25-07-1st.pdf
1434,tt0120382,The Truman Show,1998,233,"film_20100519/all_imsdb_05_19_10/Truman-Show,-The.html"
5163,tt1325004,The Twilight Saga: Eclipse,2010,331,http://www.joblo.com/scripts/Twilight-Eclipse.pdf
5164,tt1259571,The Twilight Saga: New Moon,2009,344,http://www.imsdb.com/scripts/Twilight-New-Moon.html
3631,tt1142988,The Ugly Truth,2009,103,"http://www.imsdb.com/Movie Scripts/Ugly Truth, The Script.html"
5179,tt0114814,The Usual Suspects,1995,46,http://www.pages.drexel.edu/~ina22/splaylib/Screenplay-Usual_Suspects.HTM
9214,tt0831374,The Utah Murder Project,2006,,http://indiegroundfilms.files.wordpress.com/2014/01/utah-murder-project-the.pdf
3654,tt0084855,The Verdict,1982,159,"http://www.imsdb.com/Movie Scripts/Verdict, The Script.html"
5186,tt0368447,The Village,2004,159,"http://www.dailyscript.com/scripts/Village,+The.txt"
3667,tt0857191,The Visitor,2007,11,"http://www.imsdb.com/Movie Scripts/Visitor, The Script.html"
5197,tt0046534,The War of the Worlds,1953,,http://www.scifiscripts.com/scripts/WARWORLDS.txt
7104,tt1369706,The Ward,2010,,"Ward, The.pdf"
5205,tt0118125,The Watermelon Woman,1996,,"http://www.pages.drexel.edu/~ina22/splaylib/Screenplay-Watermelon_Woman,_The.pdf"
3690,tt1023114,The Way Back,2010,2,"http://www.imsdb.com/Movie Scripts/Way Back, The Script.html"
6724,tt0202677,The Way of the Gun,2000,9,"WayoftheGun,The.pdf"
6930,tt0384680,The Weather Man,2005,16,"WEATHER MAN, THE by Steve Conrad [10.5.2003].pdf"
4992,tt0372532,The Wedding Date,2005,42,http://www.dailyscript.com/scripts/somethingborrowed.html
5214,tt0120888,The Wedding Singer,1998,148,"http://www.pages.drexel.edu/~ina22/splaylib/Screenplay-Wedding_Singer,_The.pdf"
3701,tt0896872,The Whistleblower,2010,1,"http://www.imsdb.com/Movie Scripts/Whistleblower, The Script.html"
1475,tt0065214,The Wild Bunch,1969,,"film_20100519/all_imsdb_05_19_10/Wild-Bunch,-The.html"
7814,tt0073906,The Wind and the Lion,1975,,"Wind and the Lion, The [Scan].pdf"
9231,tt0094332,The Witches of Eastwick,1987,141,http://indiegroundfilms.files.wordpress.com/2014/01/witches-of-eastwick-the-may-1986-numbered-revised-2nd.pdf
8080,tt0098663,The Wizard,1989,31,"Wizard, The (1989) [4-12-1989] (1).pdf"
1483,tt0032138,The Wizard of Oz,1939,839,"film_20100519/all_imsdb_05_19_10/Wizard-of-Oz,-The.html"
3737,tt0993846,The Wolf of Wall Street,2013,125,"http://www.imsdb.com/Movie Scripts/Wolf of Wall Street, The Script.html"
6622,tt0780653,The Wolfman,2010,68,The Wolf Man (Andrew Kevin Walker).pdf
8605,tt1430132,The Wolverine,2013,142,The Wolverine.pdf
3742,tt0361127,The Woodsman,2004,,"http://www.imsdb.com/Movie Scripts/Woodsman, The Script.html"
3745,tt0143145,The World Is Not Enough,1999,217,"http://www.imsdb.com/Movie Scripts/World is not Enough, The Script.html"
3746,tt1125849,The Wrestler,2008,31,"http://www.imsdb.com/Movie Scripts/Wrestler, The Script.html"
8552,tt0120902,The X Files,1998,155,"X FILES, THE (1998) (aka X-FILES - FIGHT THE FUTURE) by Chris Carter [1997.06.30] [Yellow Pages] [Digital].pdf"
8323,tt0073918,The Yakuza,1974,,"Yakuza, The - Schrader - p.56&88.pdf"
5256,tt0962736,The Young Victoria,2009,12,"http://www.pages.drexel.edu/~ina22/splaylib/Screenplay-Young_Victoria, The.pdf"
6827,tt2333804,The Zero Theorem,2013,,The Zero Theorem.pdf
3519,tt0103074,Thelma & Louise,1991,93,http://www.angelfire.com/movies/ridleyscott/script/ThelmaAndLouise.txt
6000,tt0469494,There Will Be Blood,2007,50,https://www.dropbox.com/sh/jpxh25l44yke4np/AADcKOq5UROHV3axRtPCBdsza/THERE%20WILL%20BE%20BLOOD%20%282007%29%20by%20Paul%20Thomas%20Anderson%20%5B2006.07.25%5D%20%5BFinal%20Shoot.%5D%20%5BScan%5D%20%5BBlack%2706%5D.pdf?dl=0
3521,tt0129387,There's Something About Mary,1998,326,http://www.imsdb.com/Movie Scripts/There's Something About Mary Script.html
6847,tt0096256,They Live,1988,27,"They Live (John Carpenter as Frank Armitage, Shooting Script, Rev. 2-10-88).pdf"
5114,tt0083190,Thief,1981,13,http://www.dailyscript.com/scripts/thief.pdf
3776,tt0245674,Thir13en Ghosts,2001,64,http://www.dailyscript.com/scripts/thirteen_ghosts.pdf
1401,tt0146309,Thirteen Days,2000,55,film_20100519/all_imsdb_05_19_10/Thirteen-Days.html
1406,tt0108330,This Boy's Life,1993,8,film_20100519/all_imsdb_05_19_10/This-Boy's-Life.html
3536,tt1758830,This Is 40,2012,73,http://www.imsdb.com/Movie Scripts/This is 40 Script.html
3538,tt0800369,Thor,2011,198,http://www.imsdb.com/Movie Scripts/Thor Script.html
5126,tt0073802,Three Days of the Condor,1975,,http://www.awesomefilm.com/script/ThreeDaysoftheCondor.pdf
3541,tt0120188,Three Kings,1999,103,http://www.dailyscript.com/scripts/threekings_shootingdraft.pdf
3548,tt0167456,Thunderbirds,2004,9,http://www.imsdb.com/Movie Scripts/Thunderbirds Script.html
1409,tt0105585,Thunderheart,1992,47,film_20100519/all_imsdb_05_19_10/Thunderheart.html
5130,tt0066434,THX 1138,1971,,http://www.dailyscript.com/scripts/thx1138.html
1407,tt0196158,Ticker,2001,,film_20100519/all_imsdb_05_19_10/Ticker.html
3554,tt0857295,Timber Falls,2007,,http://www.imsdb.com/Movie Scripts/Timber Falls Script.html
6455,tt0080025,Time After Time,1979,,Time After Time.pdf
1412,tt0117918,Tin Cup,1996,106,film_20100519/all_imsdb_05_19_10/Tin-Cup.html
1414,tt0094155,Tin Men,1987,56,film_20100519/all_imsdb_05_19_10/Tin-Men.html
3563,tt1340800,Tinker Tailor Soldier Spy,2011,26,http://www.imsdb.com/Movie Scripts/Tinker Tailor Soldier Spy Script.html
5136,tt0120338,Titanic,1997,1249,http://www.dailyscript.com/scripts/Titanic.txt
